data_date,strike,ticker,asset,strike_date,option_type,bid,ask,ivm,volm,outs_int
2023-02-17,4085,^GSPC 3/17/23 C4085,^GSPC,2023-03-17,Call,80.5,81,17.69527245,63,167
2023-02-17,4090,^GSPC 3/17/23 C4090,^GSPC,2023-03-17,Call,77.6000061,78.19999695,17.60414696,38,284
2023-02-17,55,KO 3/17/23 C55,KO,2023-03-17,Call,5.25,5.350000381,19.53310204,216,623
2023-02-17,57.5,KO 3/17/23 C57.5,KO,2023-03-17,Call,2.900000572,3.050000191,16.99327469,73,482
2023-02-17,60,KO 3/17/23 C60,KO,2023-03-17,Call,1.050000191,1.079999924,14.38222504,1562,12209
2023-02-17,62.5,KO 3/17/23 C62.5,KO,2023-03-17,Call,0.170000017,0.199999988,13.47145939,1504,22731
2023-02-17,65,KO 3/17/23 C65,KO,2023-03-17,Call,0.030000001,0.039999999,15.33307171,150,30002
2023-02-17,1,BBBY 3/17/23 C1,BBBY,2023-03-17,Call,0.790000021,0.920000017,257.4133911,71,589
2023-02-17,1.5,BBBY 3/17/23 C1.5,BBBY,2023-03-17,Call,0.460000038,0.49000001,200.0677795,986,2922
2023-02-17,2,BBBY 3/17/23 C2,BBBY,2023-03-17,Call,0.300000012,0.330000043,220.1836243,5518,28194
2023-02-17,2.5,BBBY 3/17/23 C2.5,BBBY,2023-03-17,Call,0.230000019,0.25,242.7164917,3139,19140
2023-02-17,3,BBBY 3/17/23 C3,BBBY,2023-03-17,Call,0.189999998,0.209999979,263.5813904,4705,33839
2023-02-17,145,AAPL 3/17/23 P145,AAPL,2023-03-17,Put,1.909999847,1.929999352,29.79669952,7980,44631
2023-02-17,150,AAPL 3/17/23 P150,AAPL,2023-03-17,Put,3.349999428,3.400000572,28.05156898,12078,62174
2023-02-17,155,AAPL 3/17/23 P155,AAPL,2023-03-17,Put,5.550000191,5.650000572,26.26337814,3088,23124
2023-02-17,160,AAPL 3/17/23 P160,AAPL,2023-03-17,Put,8.649999619,8.850000381,24.50714493,455,12114
2023-02-17,165,AAPL 3/17/23 P165,AAPL,2023-03-17,Put,12.75,13,23.59088707,54,820
2023-02-17,4070,^GSPC 3/17/23 P4070,^GSPC,2023-03-17,Put,73.3999939,74,18.278368,123,289
2023-02-17,4075,^GSPC 3/17/23 P4075,^GSPC,2023-03-17,Put,75.3999939,75.8999939,18.17472649,51,396
2023-02-17,4080,^GSPC 3/17/23 P4080,^GSPC,2023-03-17,Put,77.3999939,77.8999939,18.07643318,125,510
2023-02-17,4085,^GSPC 3/17/23 P4085,^GSPC,2023-03-17,Put,79.3999939,80,17.97826958,73,158
2023-02-17,4090,^GSPC 3/17/23 P4090,^GSPC,2023-03-17,Put,81.6000061,82.09999084,17.89121056,62,255
2023-02-17,55,KO 3/17/23 P55,KO,2023-03-17,Put,0.110000014,0.129999995,21.23947334,111,8157
2023-02-17,57.5,KO 3/17/23 P57.5,KO,2023-03-17,Put,0.310000002,0.350000024,17.32221603,397,9963
2023-02-17,60,KO 3/17/23 P60,KO,2023-03-17,Put,1.069999695,1.100000381,14.90629005,836,11128
2023-02-17,62.5,KO 3/17/23 P62.5,KO,2023-03-17,Put,2.759999275,2.929999352,14.40277576,22,4564
2023-02-17,65,KO 3/17/23 P65,KO,2023-03-17,Put,5.150000572,5.300000191,17.79058838,10,3210
2023-02-17,1,BBBY 3/17/23 P1,BBBY,2023-03-17,Put,0.069999993,0.090000033,217.9381256,47826,49129
2023-02-17,1.5,BBBY 3/17/23 P1.5,BBBY,2023-03-17,Put,0.270000041,0.290000021,213.443222,912,7681
2023-02-17,2,BBBY 3/17/23 P2,BBBY,2023-03-17,Put,0.589999974,0.629999995,221.3965759,47575,32415
2023-02-17,2.5,BBBY 3/17/23 P2.5,BBBY,2023-03-17,Put,1.020000458,1.050000191,242.7780914,1543,19592
2023-02-17,3,BBBY 3/17/23 P3,BBBY,2023-03-17,Put,1.470000267,1.529999733,266.6323242,256,9949
2023-03-21,155,AAPL 4/21/23 C155,AAPL,2023-04-21,Call,7.699999809,7.800000191,27.17003441,5480,57908
2023-03-21,157.5,AAPL 4/21/23 C157.5,AAPL,2023-04-21,Call,6,6.150000572,26.1430397,4689,3628
2023-03-21,160,AAPL 4/21/23 C160,AAPL,2023-04-21,Call,4.550000191,4.650000572,25.19002724,10504,54882
2023-03-21,162.5,AAPL 4/21/23 C162.5,AAPL,2023-04-21,Call,3.300000191,3.350000381,24.18957329,1694,1145
2023-03-21,165,AAPL 4/21/23 C165,AAPL,2023-04-21,Call,2.260000229,2.270000458,23.13439369,11576,55528
2023-03-21,3995,^GSPC 4/21/23 C3995,^GSPC,2023-04-21,Call,99.8999939,100.9000092,19.35008049,35,198
2023-03-21,4000,^GSPC 4/21/23 C4000,^GSPC,2023-04-21,Call,96.90000916,97.69999695,19.24383354,8239,74554
2023-03-21,4005,^GSPC 4/21/23 C4005,^GSPC,2023-04-21,Call,93.80000305,94.6000061,19.12277603,47,340
2023-03-21,4010,^GSPC 4/21/23 C4010,^GSPC,2023-04-21,Call,90.90000916,91.6000061,19.02937508,381,1035
2023-03-21,4015,^GSPC 4/21/23 C4015,^GSPC,2023-04-21,Call,87.90000916,88.69999695,18.92594147,197,618
2023-03-21,59,KO 4/21/23 C59,KO,2023-04-21,Call,2.170000076,2.210000038,17.80730438,7,31
2023-03-21,60,KO 4/21/23 C60,KO,2023-04-21,Call,1.470000267,1.510000229,16.71299171,567,9317
2023-03-21,61,KO 4/21/23 C61,KO,2023-04-21,Call,0.899999976,0.939999998,15.73471928,404,486
2023-03-21,62,KO 4/21/23 C62,KO,2023-04-21,Call,0.480000019,0.5,14.68139744,443,819
2023-03-21,62.5,KO 4/21/23 C62.5,KO,2023-04-21,Call,0.330000043,0.350000024,14.29084873,719,23417
2023-03-21,0.5,BBBY 4/21/23 C0.5,BBBY,2023-04-21,Call,0.329999983,0.389999986,201.4342041,247,1390
2023-03-21,1,BBBY 4/21/23 C1,BBBY,2023-04-21,Call,0.139999986,0.150000036,219.5052032,3279,19540
